price,seller_age_days,seller_rating,seller_sales_count,review_count,return_policy_days,price_ratio_to_typical,seller_trust_score,seller_new_flag,review_to_sales_ratio,suspicious_phrase_count,brand,category,shipping_country,currency,text_combined
704.85,423,4.5,309,0,20,1.0083690987124463,4.466603092654591,0,0.0,0,Samsung,Cameras,TR,USD,samsung cameras in excellent condition serial number available. fast shipping and returns accepted.
41.65,7,4.51,0,2,8,0.16726907630522087,2.3814162312519755,1,2.0,1,Bose,Handbags,DE,USD,bose handbags premium replica deal no receipt available. perfect copy and hard to tell.
135.93,4,2.45,143,0,9,0.3406766917293233,2.631369011759115,1,0.0,1,Sony,Handbags,GB,USD,luxury sony no box item no receipt available. perfect copy and hard to tell.
525.24,16,1.87,59,0,2,0.2918,2.3000681421639575,1,0.0,1,Louis Vuitton,Electronics,IN,USD,louis vuitton electronics without receipt no receipt available. perfect copy and hard to tell.
1286.14,137,4.23,1244,69,38,0.886993103448276,4.614310754998283,0,0.05542168674698795,0,Gucci,Audio,DE,USD,verified gucci audio listing purchased from official store. invoice and original box included.
30.92,40,2.57,18,11,0,0.32547368421052636,2.449645554797256,1,0.5789473684210527,0,Adidas,Electronics,JP,USD,verified adidas electronics listing minimal wear. verified authenticity by trusted reseller.
28.27,0,1.49,115,5,10,0.07085213032581454,1.908897547776591,1,0.04310344827586207,0,Sony,Sneakers,US,USD,sony sneakers in excellent condition serial number available. fast shipping and returns accepted.
1822.17,758,4.23,47,504,26,1.0123166666666668,3.9961005193363173,0,10.5,0,Louis Vuitton,Audio,DE,USD,louis vuitton audio in excellent condition minimal wear. verified authenticity by trusted reseller.
631.25,407,4.57,1005,226,24,0.7426470588235294,4.806624413825546,0,0.22465208747514911,0,Canon,Sneakers,DE,USD,verified canon sneakers listing purchased from official store. invoice and original box included.
563.51,312,4.36,987,308,22,0.7052690863579474,4.65785115301799,0,0.3117408906882591,0,Apple,Watches,IN,USD,original apple watches with full packaging minimal wear. verified authenticity by trusted reseller.
619.07,0,3.91,1214,0,23,0.885650929899857,3.650124838943662,1,0.0,0,Samsung,Handbags,US,USD,verified samsung handbags listing serial number available. fast shipping and returns accepted.
790.07,321,4.5,0,562,17,0.9888235294117648,2.976182731831661,0,562.0,0,Apple,Sneakers,TR,USD,original apple sneakers with full packaging serial number available. fast shipping and returns accepted.
166.4,23,3.94,21,0,5,0.2380543633762518,3.0474686878917705,1,0.0,0,Samsung,Electronics,GB,USD,verified samsung electronics listing serial number available. fast shipping and returns accepted.
845.09,830,4.21,1695,400,33,0.9942235294117647,4.92690142331628,0,0.2358490566037736,0,Canon,Cameras,AE,USD,original canon cameras with full packaging serial number available. fast shipping and returns accepted.
90.27,629,4.74,0,0,16,0.9502105263157894,3.1798579729078367,0,0.0,0,Adidas,Cameras,DE,USD,original adidas cameras with full packaging purchased from official store. invoice and original box included.
1230.31,0,4.27,465,155,27,0.6835055555555555,3.592546408531411,1,0.33261802575107297,0,Louis Vuitton,Handbags,AE,USD,verified louis vuitton handbags listing serial number available. fast shipping and returns accepted.
